"key","imageKey","no","name","abilities","hp","atk","def","spa","spd","spe","evioliteEligible","point","synergyName","syn_physicalAttacker","syn_specialAttacker","syn_physicalSweeper","syn_specialSweeper","syn_physicalWall","syn_specialWall","syn_setup","types","moves"
"p0036","0036","36","ピクシー","メロメロボディ|マジックガード|てんねん","95","70","73","95","90","60","false","","","","","","","","","","フェアリー","ギガインパクト|すてみタックル|のしかかり|からげんき|がむしゃら|はかいこうせん|ハイパーボイス|さわぐ|トライアタック|りんしょう|いびき|おさきにどうぞ|まねっこ|くすぐる|ねがいごと|てだすけ|このゆびとまれ|じこあんじ|アンコール|バトンタッチ|しんぴのまもり|ねごと|こらえる|まもる|みがわり|うたう|ソーラービーム|くさむすび|ほのおのパンチ|だいもんじ|かえんほうしゃ|マジカルフレイム|にほんばれ|みずのはどう|ひやみず|いのちのしずく|あまごい|かみなりパンチ|かみなり|10まんボルト|チャージビーム|でんじは|とびはねる|ダブルウイング|エアスラッシュ|メテオビーム|ステルスロック|あなをほる|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|きあいパンチ|ドレインパンチ|かわらわり|きあいだま|しねんのずつき|みらいよち|サイコキネシス|サイコショック|アシストパワー|いやしのはどう|ワンダールーム|いやしのねがい|じゅうりょく|めいそう|コスモパワー|ふういん|スキルスワップ|トリック|ねむる|ドわすれ|リフレクター|ひかりのかべ|シャドーボール|ナイトヘッド|はたきおとす|どろぼう|なげつける|うそなき|コメットパンチ|じゃれつく|ミストバースト|ムーンフォース|みわくのボイス|マジカルシャイン|ドレインキッス|ミストフィールド|つきのひかり|あまえる|てんしのキッス"
"p0036-2","0036-M","36","メガピクシー","マジックミラー","95","80","93","135","110","70","false","","","","","","","","","","フェアリー|ひこう","ギガインパクト|すてみタックル|のしかかり|からげんき|がむしゃら|はかいこうせん|ハイパーボイス|さわぐ|トライアタック|りんしょう|いびき|おさきにどうぞ|まねっこ|くすぐる|ねがいごと|てだすけ|このゆびとまれ|じこあんじ|アンコール|バトンタッチ|しんぴのまもり|ねごと|こらえる|まもる|みがわり|うたう|ソーラービーム|くさむすび|ほのおのパンチ|だいもんじ|かえんほうしゃ|マジカルフレイム|にほんばれ|みずのはどう|ひやみず|いのちのしずく|あまごい|かみなりパンチ|かみなり|10まんボルト|チャージビーム|でんじは|とびはねる|ダブルウイング|エアスラッシュ|メテオビーム|ステルスロック|あなをほる|れいとうパンチ|ふぶき|れいとうビーム|こごえるかぜ|きあいパンチ|ドレインパンチ|かわらわり|きあいだま|しねんのずつき|みらいよち|サイコキネシス|サイコショック|アシストパワー|いやしのはどう|ワンダールーム|いやしのねがい|じゅうりょく|めいそう|コスモパワー|ふういん|スキルスワップ|トリック|ねむる|ドわすれ|リフレクター|ひかりのかべ|シャドーボール|ナイトヘッド|はたきおとす|どろぼう|なげつける|うそなき|コメットパンチ|じゃれつく|ミストバースト|ムーンフォース|みわくのボイス|マジカルシャイン|ドレインキッス|ミストフィールド|つきのひかり|あまえる|てんしのキッス"
"p0038","0038","38","キュウコン","もらいび|ひでり","73","76","75","81","100","100","false","","","","","","","","","","ほのお","ギガインパクト|すてみタックル|のしかかり|からげんき|でんこうせっか|スイープビンタ|じたばた|はかいこうせん|りんしょう|ウェザーボール|いびき|とおぼえ|てだすけ|じこあんじ|アンコール|バトンタッチ|いたみわけ|しんぴのまもり|ねごと|メロメロ|こらえる|まもる|みがわり|かなしばり|ほえる|ソーラービーム|エナジーボール|フレアドライブ|ニトロチャージ|オーバーヒート|だいもんじ|れんごく|ねっぷう|かえんほうしゃ|マジカルフレイム|しっとのほのお|ほのおのうず|おにび|にほんばれ|あなをほる|ねっさのだいち|しねんのずつき|サイコショック|じんつうりき|アシストパワー|パワースワップ|いやしのねがい|めいそう|ふういん|ねむる|こうそくいどう|さいみんじゅつ|シャドーボール|たたりめ|ナイトヘッド|うらみ|あやしいひかり|イカサマ|しっぺがえし|あくのはどう|バークアウト|わるだくみ|うそなき|おきみやげ|アイアンテール|つぶらなひとみ|あまえる"
"p0038-2","0038-R","38","キュウコン(アローラ)","ゆきがくれ|ゆきふらし","73","67","75","81","100","109","false","","","","","","","","","","こおり|フェアリー","ギガインパクト|すてみタックル|のしかかり|からげんき|スイープビンタ|じたばた|はかいこうせん|りんしょう|ウェザーボール|いびき|とおぼえ|てだすけ|じこあんじ|アンコール|バトンタッチ|いたみわけ|しんぴのまもり|ねごと|メロメロ|こらえる|まもる|みがわり|かなしばり|ほえる|ひやみず|あまごい|あなをほる|ゆきなだれ|こおりのつぶて|つららばり|トリプルアクセル|ふぶき|れいとうビーム|フリーズドライ|こごえるかぜ|ゆきげしき|オーロラベール|しねんのずつき|サイコショック|じんつうりき|アシストパワー|ワンダールーム|パワースワップ|めいそう|ふういん|ねむる|こうそくいどう|さいみんじゅつ|たたりめ|うらみ|あやしいひかり|イカサマ|しっぺがえし|あくのはどう|わるだくみ|うそなき|アイアンテール|じゃれつく|ムーンフォース|マジカルシャイン|ドレインキッス|つぶらなひとみ|ミストフィールド|あまえる"
"p0059","0059","59","ウインディ","いかく|もらいび|せいぎのこころ","90","110","80","100","80","95","false","","","","","","","","","","ほのお","ギガインパクト|すてみタックル|あばれる|のしかかり|しんそく|からげんき|ほしがる|はかいこうせん|ハイパーボイス|りんしょう|いびき|とおぼえ|てだすけ|あさのひざし|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ソーラービーム|だいふんげき|フレアドライブ|やけっぱち|ほのおのキバ|ニトロチャージ|ヒートスタンプ|もえつきる|オーバーヒート|だいもんじ|ねっぷう|かえんほうしゃ|ほのおのうず|おにび|にほんばれ|ワイルドボルト|かみなりのキバ|つばめがえし|あなをほる|じならし|ねっさのだいち|インファイト|きしかいせい|サイコファング|ねむる|こうそくいどう|のろい|げきりん|りゅうのはどう|かみくだく|どろぼう|かみつく|バークアウト|アイアンテール|アイアンヘッド|じゃれつく|あまえる"
"p0059-2","0059-R","59","ウインディ(ヒスイ)","いかく|もらいび|いしあたま","95","115","80","95","80","90","false","","","","","","","","","","ほのお|いわ","ギガインパクト|すてみタックル|あばれる|のしかかり|しんそく|からげんき|ほしがる|はかいこうせん|ハイパーボイス|りんしょう|いびき|とおぼえ|てだすけ|あさのひざし|ねごと|こらえる|こわいかお|まもる|みがわり|ほえる|ソーラービーム|だいふんげき|フレアドライブ|やけっぱち|ほのおのキバ|ニトロチャージ|ヒートスタンプ|もえつきる|オーバーヒート|だいもんじ|ねっぷう|かえんほうしゃ|ほのおのうず|おにび|にほんばれ|ワイルドボルト|かみなりのキバ|つばめがえし|もろはのずつき|ストーンエッジ|いわなだれ|がんせきふうじ|うちおとす|ロックブラスト|パワージェム|ステルスロック|すなあらし|あなをほる|じならし|ねっさのだいち|インファイト|きしかいせい|サイコファング|ねむる|こうそくいどう|げきりん|りゅうのはどう|かみくだく|どろぼう|かみつく|バークアウト|アイアンテール|アイアンヘッド|スマートホーン"
"p0065","0065","65","フーディン","シンクロ|せいしんりょく|マジックガード","55","50","45","135","95","120","false","","","","","","","","","","エスパー","ギガインパクト|メガトンキック|のしかかり|からげんき|はかいこうせん|トライアタック|りんしょう|いびき|アンコール|しんぴのまもり|ねごと|メロメロ|こらえる|まもる|みがわり|じこさいせい|かげぶんしん|かなしばり|エナジーボール|くさむすび|ほのおのパンチ|にほんばれ|あまごい|かみなりパンチ|でんじは|れいとうパンチ|ドレインパンチ|きあいだま|しねんのずつき|サイコカッター|みらいよち|サイコキネシス|ワイドフォース|サイコショック|アシストパワー|スピードスワップ|サイコフィールド|サイドチェンジ|マジックルーム|ワンダールーム|ガードシェア|トリックルーム|ガードスワップ|パワースワップ|めいそう|ふういん|スキルスワップ|なりきり|トリック|ねむる|リフレクター|ひかりのかべ|シャドーボール|イカサマ|どろぼう|なげつける|わるだくみ|ちょうはつ|アイアンテール|マジカルシャイン"
"p0065-2","0065-M","65","メガフーディン","トレース","55","50","65","175","105","150","false","","","","","","","","","","エスパー","ギガインパクト|メガトンキック|のしかかり|からげんき|はかいこうせん|トライアタック|りんしょう|いびき|アンコール|しんぴのまもり|ねごと|メロメロ|こらえる|まもる|みがわり|じこさいせい|かげぶんしん|かなしばり|エナジーボール|くさむすび|ほのおのパンチ|にほんばれ|あまごい|かみなりパンチ|でんじは|れいとうパンチ|ドレインパンチ|きあいだま|しねんのずつき|サイコカッター|みらいよち|サイコキネシス|ワイドフォース|サイコショック|アシストパワー|スピードスワップ|サイコフィールド|サイドチェンジ|マジックルーム|ワンダールーム|ガードシェア|トリックルーム|ガードスワップ|パワースワップ|めいそう|ふういん|スキルスワップ|なりきり|トリック|ねむる|リフレクター|ひかりのかべ|シャドーボール|イカサマ|どろぼう|なげつける|わるだくみ|ちょうはつ|アイアンテール|マジカルシャイン"
"p0068","0068","68","カイリキー","こんじょう|ノーガード|ふくつのこころ","90","130","80","65","85","55","false","","","","","","","","","","かくとう","ギガインパクト|すてみタックル|メガトンキック|のしかかり|からげんき|はかいこうせん|りんしょう|いびき|くすぐる|てだすけ|アンコール|ねごと|メロメロ|こらえる|こわいかお|まもる|みがわり|きあいだめ|ほのおのパンチ|だいもんじ|かえんほうしゃ|にほんばれ|あまごい|かみなりパンチ|ストーンエッジ|いわなだれ|がんせきふうじ|ロックブラスト|ワイドガード|どくづき|クロスポイズン|じしん|10まんばりき|あなをほる|じだんだ|じならし|れいとうパンチ|インファイト|ばかぢから|クロスチョップ|ばくれつパンチ|ドレインパンチ|かわらわり|ローキック|やまあらし|きしかいせい|ちきゅうなげ|カウンター|けたぐり|きあいだま|コーチング|ファストガード|ビルドアップ|みきり|ねむる|ひかりのかべ|DDラリアット|じごくづき|はたきおとす|ぶんまわす|ダメおし|どろぼう|しっぺがえし|なげつける|バレットパンチ|ヘビーボンバー"
"p0071","0071","71","ウツボット","ようりょくそ|くいしんぼう","80","105","65","100","70","70","false","","","","","","","","","","くさ|どく","ギガインパクト|のしかかり|からげんき|まきつく|はかいこうせん|りんしょう|ウェザーボール|いびき|はきだす|くすぐる|のみこむ|たくわえる|あまいかおり|アンコール|ねごと|こらえる|こわいかお|まもる|みがわり|つるぎのまい|パワーウィップ|リーフブレード|タネばくだん|グラススライダー|くさわけ|タネマシンガン|リーフストーム|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|ちからをすいとる|グラスフィールド|なやみのタネ|ねをはる|こうごうせい|ねむりごな|しびれごな|せいちょう|にほんばれ|とびかかる|きゅうけつ|むしくい|とびつく|どくづき|ヘドロウェーブ|ヘドロばくだん|ベノムショック|クリアスモッグ|アシッドボム|どくびし|いえき|どくどく|どくのこな|ねむる|リフレクター|ふいうち|はたきおとす|どろぼう"
"p0071-2","0071-M","71","メガウツボット","とびだすなかみ","80","125","85","135","95","70","false","","","","","","","","","","くさ|どく","ギガインパクト|のしかかり|からげんき|まきつく|はかいこうせん|りんしょう|ウェザーボール|いびき|はきだす|くすぐる|のみこむ|たくわえる|あまいかおり|アンコール|ねごと|こらえる|こわいかお|まもる|みがわり|つるぎのまい|パワーウィップ|リーフブレード|タネばくだん|グラススライダー|くさわけ|タネマシンガン|リーフストーム|ソーラービーム|エナジーボール|ギガドレイン|くさむすび|ちからをすいとる|グラスフィールド|なやみのタネ|ねをはる|こうごうせい|ねむりごな|しびれごな|せいちょう|にほんばれ|とびかかる|きゅうけつ|むしくい|とびつく|どくづき|ヘドロウェーブ|ヘドロばくだん|ベノムショック|クリアスモッグ|アシッドボム|どくびし|いえき|どくどく|どくのこな|ねむる|リフレクター|ふいうち|はたきおとす|どろぼう"
"p0080-2","0080-M","80","メガヤドラン","シェルアーマー","95","75","180","130","80","30","false","","","","","","","","","","みず|エスパー","ギガインパクト|のしかかり|からげんき|はかいこうせん|トライアタック|りんしょう|ウェザーボール|いびき|とおせんぼう|なまける|あくび|てだすけ|じこあんじ|しんぴのまもり|ねごと|こらえる|はらだいこ|まもる|みがわり|かなしばり|くさむすび|だいもんじ|かえんほうしゃ|にほんばれ|アクアブレイク|ダイビング|たきのぼり|シェルブレード|ハイドロポンプ|だくりゅう|なみのり|ねっとう|みずのはどう|ひやみず|うずしお|あまごい|でんじは|ゲップ|じしん|あなをほる|じならし|マッドショット|れいとうパンチ|ゆきなだれ|ふぶき|れいとうビーム|こごえるかぜ|ゆきげしき|きあいパンチ|ボディプレス|ドレインパンチ|かわらわり|きあいだま|しねんのずつき|みらいよち|サイコキネシス|ワイドフォース|サイコショック|サイコノイズ|アシストパワー|サイコフィールド|いやしのはどう|ワンダールーム|トリックルーム|めいそう|ふういん|スキルスワップ|トリック|ねむる|ドわすれ|ひかりのかべ|シャドーボール|のろい|イカサマ|なげつける|わるだくみ|アイアンテール|てっぺき"
